        21  0.3209188E+00 -0.8554982E+00 -0.3922612E+00  0.3170074E+00 -0.5096972E-01 -0.5141019E+00  0.1858980E+00  0.1425063E+01 -0.4913615E+00 -0.4176274E-07  0.1290578E-07  0.3651015E-14 -0.1128259E-14  0.9554201E+00 -0.2952499E+00
        22  0.2395485E+00 -0.8975167E+00 -0.3567042E+00  0.1897786E+00  0.1969808E+00 -0.4614994E+00 -0.2654922E+00  0.1224760E+01  0.7924326E+00 -0.3673348E-07 -0.2369255E-07  0.3211343E-14  0.2071268E-14  0.8403641E+00  0.5420223E+00
        23  0.3885349E+00 -0.8567881E+00 -0.3220211E+00  0.1978700E+00 -0.2408437E+00 -0.2312727E+00  0.4219064E+00  0.8127092E+00 -0.1415363E+01 -0.2269861E-07  0.3735584E-07  0.1984375E-14 -0.3265751E-14  0.5192836E+00 -0.8546020E+00
        25  0.2388570E+00 -0.9283620E+00 -0.2711879E+00  0.1381351E+00  0.1216433E+00 -0.3529006E+00 -0.2332091E+00  0.1318056E+01  0.8528461E+00 -0.3655680E-07 -0.2396426E-07  0.3195897E-14  0.2095022E-14  0.8363221E+00  0.5482384E+00
        27  0.3671988E+00 -0.8968702E+00 -0.2271606E+00  0.1611620E+00 -0.1225091E+00 -0.2347559E+00  0.2795825E+00  0.1170668E+01 -0.1260470E+01 -0.3057949E-07  0.3123428E-07  0.2673344E-14 -0.2730588E-14  0.6995772E+00 -0.7145570E+00
        28  0.2988913E+00 -0.9264255E+00 -0.2118845E+00  0.1690408E+00  0.1706784E-01 -0.3515841E+00  0.4001871E-01  0.1672915E+01 -0.1429762E+00 -0.4362327E-07  0.2774207E-08  0.3813667E-14 -0.2425289E-15  0.9979840E+00 -0.6346647E-01
        31 -0.7419188E-03  0.7358436E+00 -0.6696278E+00 -0.2584112E+00 -0.8948085E-01 -0.7274511E+00 -0.4240242E-01 -0.7971786E+00 -0.5267767E-01  0.4371001E-07  0.3478000E-09 -0.3821250E-14 -0.3040565E-16 -0.9999683E+00 -0.7956737E-02
        32 -0.6595354E-03  0.6688735E+00 -0.7366861E+00 -0.2886797E+00 -0.1140988E+00 -0.7210307E+00 -0.3611179E-01 -0.6648418E+00 -0.5661426E-01  0.4371030E-07  0.3091842E-09 -0.3821276E-14 -0.2702974E-16 -0.9999750E+00 -0.7073309E-02
        33 -0.8717298E-01  0.7678069E+00 -0.6268678E+00 -0.2478627E-01 -0.2046790E+00 -0.3400559E+00 -0.6022187E+00 -0.4004367E+00 -0.7245674E+00  0.2596426E-07  0.3516451E-07 -0.2269868E-14 -0.3074179E-14 -0.5939930E+00 -0.8044702E+00
        35 -0.1647990E+00  0.7261741E+00 -0.6601008E+00  0.1246656E+00 -0.1202296E+00  0.2496540E+00 -0.6186589E+00  0.2393692E+00 -0.6659572E+00 -0.8529563E-08  0.4287111E-07  0.7456781E-15 -0.3747912E-14  0.1951337E+00 -0.9807767E+00
        37 -0.8665396E-01  0.6301307E+00 -0.7648580E+00 -0.4803950E-01 -0.2475554E+00 -0.3402852E+00 -0.6008669E+00 -0.2795577E+00 -0.4789020E+00  0.2615957E-07  0.3501946E-07 -0.2286942E-14 -0.3061498E-14 -0.5984612E+00 -0.8011518E+00
        39 -0.1643624E+00  0.6554679E+00 -0.7310327E+00  0.1377109E+00 -0.1402347E+00  0.2401560E+00 -0.6288202E+00  0.1952172E+00 -0.5340543E+00 -0.8328738E-08  0.4291058E-07  0.7281214E-15 -0.3751362E-14  0.1905393E+00 -0.9816796E+00
        43  0.8896752E+00 -0.2350649E+00  0.3784820E+00 -0.7057534E+00  0.9495238E-01  0.1649101E+00 -0.4739810E-01  0.1665964E+01 -0.1791712E+00 -0.4342027E-07  0.5036419E-08  0.3795921E-14 -0.4402977E-15  0.9933400E+00 -0.1152198E+00
        44  0.9232618E+00 -0.2439293E+00  0.2812833E+00 -0.4511827E+00  0.2162280E+00  0.9822239E-01 -0.6297358E-01  0.1615281E+01 -0.8195941E+00 -0.3885951E-07  0.2001561E-07  0.3397206E-14 -0.1749820E-14  0.8890018E+00 -0.4579037E+00
        46  0.8897004E+00 -0.3768550E+00  0.2353384E+00 -0.4412947E+00  0.4680143E-01  0.1657980E+00 -0.3851453E-01  0.1859469E+01 -0.2204363E+00 -0.4341891E-07  0.5048151E-08  0.3795802E-14 -0.4413234E-15  0.9933088E+00 -0.1154882E+00
        47  0.9230563E+00 -0.3038368E+00  0.2171309E+00 -0.3896864E+00  0.2150433E+00  0.1019479E+00 -0.8984387E-01  0.1677443E+01 -0.8438913E+00 -0.3890353E-07  0.1992991E-07  0.3401054E-14 -0.1742328E-14  0.8900089E+00 -0.4559432E+00
        49  0.8457898E+00 -0.3993355E+00  0.3343416E+00 -0.5664413E+00 -0.2002618E+00  0.2633917E+00  0.8372689E-01  0.1639438E+01  0.5849356E+00 -0.4098402E-07 -0.1519855E-07  0.3582937E-14  0.1328699E-14  0.9376050E+00  0.3477023E+00
        51  0.8455591E+00 -0.3174529E+00  0.4133328E+00 -0.6834735E+00 -0.2602226E+00  0.2616579E+00  0.7451173E-01  0.1538644E+01  0.5745129E+00 -0.4094629E-07 -0.1529991E-07  0.3579638E-14  0.1337560E-14  0.9367418E+00  0.3500210E+00
        59  0.6424896E+00  0.7544018E+00 -0.8666438E-01 -0.7029882E-01  0.5714648E-01 -0.1153248E+00  0.7095505E-01 -0.1528534E+01  0.1116402E+01  0.3591730E-07 -0.2491252E-07 -0.3139990E-14  0.2177921E-14 -0.8216919E+00  0.5699319E+00
        60  0.6819382E+00  0.7254037E+00  0.3184968E-02 -0.1369157E-02  0.1837034E-01 -0.5383087E-02  0.4046950E-02 -0.9865962E+00  0.1664212E+01  0.2252438E-07 -0.3746115E-07 -0.1969144E-14  0.3274958E-14 -0.5152977E+00  0.8570113E+00
        62  0.6574087E+00  0.7197238E+00 -0.1926962E+00 -0.1929941E+00  0.1845485E+00 -0.1724304E+00  0.1952048E+00 -0.1289945E+01  0.1305887E+01  0.3149009E-07 -0.3031600E-07 -0.2752951E-14  0.2650309E-14 -0.7204092E+00  0.6935492E+00
        64  0.7413439E+00  0.6633856E+00 -0.1413454E-02  0.1630250E-02 -0.1412046E-02 -0.6368716E-02 -0.5995726E-02  0.2355045E+00  0.1946673E+01 -0.4175534E-08 -0.4351150E-07  0.3650368E-15  0.3803896E-14  0.9552507E-01  0.9954270E+00
        65  0.7699740E+00  0.6231544E+00 -0.9117661E-01  0.6635685E-01  0.1528482E+00  0.3487830E-01  0.8934881E-01  0.7825800E+00  0.1783529E+01 -0.1712985E-07 -0.4021510E-07  0.1497539E-14  0.3515715E-14  0.3918853E+00  0.9200141E+00
        67  0.7254873E+00  0.6504946E+00 -0.1926100E+00 -0.8769234E-02  0.2948424E+00 -0.2066943E-02  0.2442967E+00 -0.7483027E-01  0.1853744E+01  0.3247597E-08 -0.4359058E-07 -0.2839140E-15  0.3810810E-14 -0.7429636E-01  0.9972362E+00
        71  0.2387432E+00  0.8881349E+00  0.3789907E+00 -0.1846856E+00 -0.1881486E+00 -0.4535235E+00 -0.2849164E+00  0.1226733E+01  0.7916144E+00 -0.3652749E-07 -0.2400891E-07  0.3193335E-14  0.2098926E-14  0.8356516E+00  0.5492599E+00
        72  0.2226924E+00  0.9201136E+00  0.3059135E+00 -0.1344774E+00 -0.1451448E+00 -0.3570604E+00 -0.3182231E+00  0.1114443E+01  0.1025380E+01 -0.3187578E-07 -0.2991020E-07  0.2786669E-14  0.2614833E-14  0.7292328E+00  0.6842657E+00
        74  0.3695062E+00  0.8904903E+00  0.2495556E+00 -0.1676248E+00  0.1471761E+00 -0.2443010E+00  0.2913814E+00  0.1128287E+01 -0.1273753E+01 -0.2979741E-07  0.3198125E-07  0.2604972E-14 -0.2795890E-14  0.6816852E+00 -0.7316456E+00
        75  0.2873855E+00  0.9201935E+00  0.2468130E+00 -0.1979285E+00 -0.3368043E-01 -0.3931455E+00 -0.1448154E-01  0.1624629E+01  0.7795577E-01 -0.4363307E-07 -0.2615565E-08  0.3814524E-14  0.2286599E-15  0.9982082E+00  0.5983715E-01
        77  0.4017474E+00  0.8469006E+00  0.3331839E+00 -0.1593566E+00  0.3004031E+00 -0.1591634E+00  0.4585624E+00  0.6086497E+00 -0.1502916E+01 -0.1719627E-07  0.4018674E-07  0.1503346E-14 -0.3513236E-14  0.3934048E+00 -0.9193654E+00
        79  0.3356774E+00  0.8446251E+00  0.4035184E+00 -0.3190256E+00  0.1320941E+00 -0.5143259E+00  0.2968475E+00  0.1304351E+01 -0.6910928E+00 -0.3920689E-07  0.1932629E-07  0.3427575E-14 -0.1689558E-14  0.8969490E+00 -0.4421339E+00
        87  0.3106167E+00 -0.8540984E+00  0.3978056E+00 -0.3377049E+00  0.2294398E-01  0.5557171E+00 -0.1568908E+00  0.1417553E+01 -0.3082125E+00 -0.4293099E-07  0.8222854E-08  0.3753147E-14 -0.7188647E-15  0.9821466E+00 -0.1881170E+00
        88  0.2144552E+00 -0.8960998E+00  0.3738993E+00 -0.1360083E+00 -0.2132211E+00  0.3823223E+00  0.3940503E+00  0.9550682E+00  0.1062456E+01 -0.2911306E-07 -0.3260545E-07  0.2545145E-14  0.2850459E-14  0.6660291E+00  0.7459257E+00
        90  0.3956653E+00 -0.8556491E+00  0.3111384E+00 -0.1785438E+00  0.2464068E+00  0.1662523E+00 -0.4046208E+00  0.7130222E+00 -0.1467794E+01 -0.1977875E-07  0.3898060E-07  0.1729113E-14 -0.3407792E-14  0.4524850E+00 -0.8917720E+00
        93  0.2112576E+00 -0.9309634E+00  0.2826624E+00 -0.1069842E+00 -0.1239261E+00  0.2804840E+00  0.3291522E+00  0.9867110E+00  0.1186699E+01 -0.2797814E-07 -0.3358436E-07  0.2445927E-14  0.2936038E-14  0.6400653E+00  0.7683205E+00
        95  0.3664401E+00 -0.8976329E+00  0.2206795E+00 -0.1473406E+00  0.1286687E+00  0.2485752E+00 -0.2843598E+00  0.1180042E+01 -0.1259171E+01 -0.3083259E-07  0.3098446E-07  0.2695471E-14 -0.2708748E-14  0.7053674E+00 -0.7088419E+00
        96  0.2781938E+00 -0.9309459E+00  0.2161099E+00 -0.1462734E+00 -0.4665088E-01  0.3284849E+00  0.4689749E-01  0.1645262E+01  0.2240173E+00 -0.4316391E-07 -0.6896533E-08  0.3773509E-14  0.6029141E-15  0.9874752E+00  0.1577743E+00
       101 -0.6817502E+00 -0.6300384E-02 -0.7259718E+00 -0.6991774E-03 -0.2711624E-01 -0.3994360E-02  0.3305350E-02  0.5451656E-03  0.1328284E-01  0.2259979E-07  0.3741571E-07 -0.1975736E-14 -0.3270985E-14 -0.5170228E+00 -0.8559716E+00
       102 -0.7256519E+00 -0.1330099E-02 -0.6825505E+00  0.1206999E-02 -0.2704647E-01 -0.4098735E-03 -0.1697375E-02 -0.3119168E-02  0.3572091E-01  0.3170576E-08  0.4359625E-07 -0.2771806E-15 -0.3811305E-14 -0.7253433E-01 -0.9973659E+00
       103 -0.6427078E+00 -0.9631153E-01 -0.7544143E+00  0.1917716E-02 -0.1540015E-01 -0.3376528E-01  0.1059496E+00 -0.1388373E-02 -0.2187226E-02  0.3585890E-07  0.2499650E-07 -0.3134885E-14 -0.2185263E-14 -0.8203560E+00 -0.5718532E+00
       105 -0.7548745E+00 -0.9159782E-01 -0.6420229E+00  0.8717293E-02 -0.3504180E-01 -0.7246777E-01 -0.4815641E-01 -0.3063444E-02  0.3495261E-01 -0.1042277E-07  0.4245058E-07  0.9111878E-15 -0.3711147E-14  0.2384452E+00 -0.9711559E+00
       107 -0.7276839E+00 -0.1824787E+00 -0.6527568E+00  0.5186357E-02 -0.2684844E-01 -0.1642588E+00 -0.2027065E-02  0.3491681E-01  0.2389965E-01  0.2219973E-08  0.4365498E-07 -0.1940762E-15 -0.3816440E-14 -0.5078707E-01 -0.9987095E+00
       109 -0.6594188E+00 -0.1822222E+00 -0.7217270E+00 -0.2286595E-02 -0.1488319E-01 -0.9383006E-01  0.1717317E+00  0.2023338E-01 -0.3396634E-01  0.3082931E-07  0.3098772E-07 -0.2695184E-14 -0.2709033E-14 -0.7052925E+00 -0.7089164E+00
       113 -0.8921702E+00 -0.3797938E+00 -0.2219449E+00 -0.1295572E-02  0.1487739E-01  0.1864850E+00  0.4175324E-02 -0.2932858E+00 -0.1060342E+00 -0.4327001E-07 -0.6196148E-08  0.3782784E-14  0.5416845E-15  0.9899023E+00  0.1417513E+00
       114 -0.9246940E+00 -0.3015658E+00 -0.2163257E+00 -0.1837931E-01  0.2733985E-01  0.6294684E-01  0.2423675E+00 -0.3109425E-01 -0.4210414E+00 -0.3854755E-07 -0.2060999E-07  0.3369934E-14  0.1801783E-14  0.8818652E+00  0.4715017E+00
