        21  0.3209188E+00 -0.8554982E+00 -0.3922612E+00  0.2000293E+00  0.4114294E+00 -0.5294380E+00 -0.1086244E+01 -0.2383742E+00 -0.4940198E+00  0.4212184E-07  0.7660609E-07  0.4818176E+00  0.8762715E+00  0.0000000E+00  0.0000000E+00
        22  0.2395485E+00 -0.8975167E+00 -0.3567042E+00 -0.4266388E-01  0.3480655E+00  0.1541855E+00 -0.1294833E+01  0.6251172E-01 -0.5302223E+00 -0.2012563E-08  0.8739961E-07 -0.2302103E-01  0.9997350E+00  0.0000000E+00  0.0000000E+00
        23  0.3885349E+00 -0.8567881E+00 -0.3220211E+00  0.4580607E+00  0.3477923E+00 -0.9820271E+00 -0.7589827E+00 -0.3830370E+00 -0.2998465E+00  0.7057881E-07  0.5158851E-07  0.8073274E+00  0.5901037E+00  0.0000000E+00  0.0000000E+00
        25  0.2388570E+00 -0.9283620E+00 -0.2711879E+00 -0.4207175E-01  0.3569731E+00  0.1741496E+00 -0.1413480E+01  0.5304400E-01 -0.4183157E+00 -0.2403012E-08  0.8738975E-07 -0.2748725E-01  0.9996222E+00  0.0000000E+00  0.0000000E+00
        27  0.3671988E+00 -0.8968702E+00 -0.2271606E+00  0.3809243E+00  0.3972381E+00 -0.9435127E+00 -0.9910286E+00 -0.2342329E+00 -0.2484682E+00  0.6281989E-07  0.6079806E-07  0.7185757E+00  0.6954487E+00  0.0000000E+00  0.0000000E+00
        28  0.2988913E+00 -0.9264255E+00 -0.2118845E+00  0.1425545E+00  0.4710718E+00 -0.4059630E+00 -0.1382994E+01 -0.9534639E-01 -0.3278022E+00  0.3082979E-07  0.8180628E-07  0.3526516E+00  0.9357547E+00  0.0000000E+00  0.0000000E+00
        31 -0.7419188E-03  0.7358436E+00 -0.6696278E+00  0.6905729E-02 -0.2608826E-02  0.8309793E+00  0.1397021E+00 -0.7564669E+00 -0.1254526E+00 -0.8742178E-07 -0.4191292E-09 -0.9999885E+00 -0.4794279E-02  0.0000000E+00  0.0000000E+00
        32 -0.6595354E-03  0.6688735E+00 -0.7366861E+00 -0.1083030E-02 -0.3293310E-02  0.7003933E+00  0.1169911E+00 -0.7636289E+00 -0.1249664E+00 -0.8742199E-07 -0.3725932E-09 -0.9999909E+00 -0.4261969E-02  0.0000000E+00  0.0000000E+00
        33 -0.8717298E-01  0.7678069E+00 -0.6268678E+00 -0.6790198E-01 -0.7371916E-01  0.6360487E+00  0.6137798E+00 -0.5111169E+00 -0.4931935E+00 -0.7391839E-07 -0.4667777E-07 -0.8455278E+00 -0.5339314E+00  0.0000000E+00  0.0000000E+00
        35 -0.1647990E+00  0.7261741E+00 -0.6601008E+00 -0.3153450E-01 -0.1669219E+00  0.1536317E+00  0.7287927E+00 -0.1331724E+00 -0.6471917E+00 -0.4237190E-07 -0.7646806E-07 -0.4846780E+00 -0.8746927E+00  0.0000000E+00  0.0000000E+00
